"Closed","Fermé"
"Please select a pickup location","Merci de sélectionner un point de retrait"
"Pickup location is not available","Le point de retrait n'est pas valide"
"With signature","Avec signature"
"Without signature","Sans signature"
"Address is a pickup location, it was partially updated.","L'adresse est un point de retrait, elle a été partiellement modifiée"
"Pick-Up location","Point de retrait"
"Pick-Up location:","Point de retrait:"
"Street","Adresse"
"Postcode","Code postal"
"City","Ville"
"Country","Pays"
"Update","Mettre à jour"
"Address:","Adresse :"
"Opening:","Ouverture :"
"Monday","Lundi"
"Tuesday","Mardi"
"Wednesday","Mercredi"
"Thursday","Jeudi"
"Friday","Vendredi"
"Saturday","Samedi"
"Sunday","Dimanche"
"Closure:","Fermeture :"
"From","Du"
"to","au"
"Close","Fermer"
"Next","Continuer"
"Back","Retour"
"No pickup-up was found near the specified address","Aucun point de retrait n'a été trouvé à proximité de l'adresse indiquée"
"Loading...","Chargement..."
"Product code: %1","Code produit : %1"
"Pickup code: %1","Code pickup : %1"
"Network: %1","Réseau : %1"
"Enabled","Activer"
"Title","Titre"
"Sort Order","Tri"
"Show Method if Not Applicable","Montrer la méthode si elle n'est pas applicable"
"Displayed Error Message","Message d'erreur"
"Type","Type"
"Name","Nom"
"Price","Prix"
"Ship to Specific Countries","Pays"
"Account","Compte"
"Password","Mot de passe"
"Amount","Montant"
"Country","Pays"
"Weight in %1 (From)","Poids en %1 (Min)"
"Weight in %1 (To)","Poids en %1 (Max)"
"Add","Ajouter"
"With signature","Avec signature"
"Without signature","Sans signature"
"Yes","Oui"
"No","Non"
"Colissimo Information","Information Colissimo"
"Shipping Data","Données de livraison"
"Please select pickup","Merci de sélectionner un point de retrait"
"Unable to load pickup, please select another shipping method","Impossible de charger le point de retrait, merci de sélectionner une autre méthode de livraison"
"Open pickup list on shipping method selection","Ouvrir la liste des points de retrait au clic sur la méthode de livraison"
